"route","routeType","entity","status","finalUrl","indexable","sitemap","canonical","canonicalMatches","robots","lang","dir","contentLang","contentDir","title","description","h1","wordCount","contentLength","schemaTypes","inlinks","outlinks","crawlDepth","titleDuplicateCount","descriptionDuplicateCount","renderedHtmlAvailable","httpChain","wwwChain","trailingChain"
"/","static","home","200","http://localhost:3100/","true","true","https://washop.co.il/","true","index, follow","he","rtl","he","rtl","Washop – אינדקס חנויות ועסקים בוואטסאפ","גלו חנויות ועסקים בישראל שמציגים מוצרים ושירותים ומאפשרים קשר ישיר בוואטסאפ. חפשו לפי קטגוריה והגיעו לעסק המתאים.","חנויות ועסקים שאפשר למצוא וליצור איתם קשר בוואטסאפ","2049","12412","WebSite|Organization|ItemList|FAQPage","69","48","0","1","1","true","308:http://washop.co.il/->https://washop.co.il/|200:https://washop.co.il/->","301:https://www.washop.co.il/->https://washop.co.il/|200:https://washop.co.il/->",""
"/global","static","global","200","http://localhost:3100/global","true","true","https://washop.co.il/global","true","index, follow","he","rtl","en","ltr","WaShop Global: Reviewed WhatsApp Store Directory","Discover reviewed stores, browse useful categories and contact sellers directly by chat. WaShop Global is the English gateway to the WaShop directory.","Discover carefully reviewed stores and shop by chat","938","6325","WebPage|ItemList","69","4","1","1","1","true","308:http://washop.co.il/global->https://washop.co.il/global|200:https://washop.co.il/global->","301:https://www.washop.co.il/global->https://washop.co.il/global|200:https://washop.co.il/global->","308:http://localhost:3100/global/->/global|200:http://localhost:3100/global->"
"/shops","static","shops","200","http://localhost:3100/shops","true","true","https://washop.co.il/shops","true","index, follow","he","rtl","he","rtl","חנויות בוואטסאפ לפי קטגוריה | Washop","מצאו חנויות ועסקים שמאפשרים פנייה ישירה דרך וואטסאפ. סננו לפי קטגוריה, עיר או מוצר ועברו לעסק המתאים.","אינדקס חנויות ועסקים בוואטסאפ","897","5041","CollectionPage|ItemList|BreadcrumbList|FAQPage","68","37","1","1","1","true","308:http://washop.co.il/shops->https://washop.co.il/shops|200:https://washop.co.il/shops->","301:https://www.washop.co.il/shops->https://washop.co.il/shops|200:https://washop.co.il/shops->","308:http://localhost:3100/shops/->/shops|200:http://localhost:3100/shops->"
"/add-store","static","add-store","200","http://localhost:3100/add-store","true","true","https://washop.co.il/add-store","true","index, follow","he","rtl","he","rtl","פרסום חנות וואטסאפ – שליחת עסק לבדיקה | WaShop","שלחו את חנות הוואטסאפ שלכם לבדיקה ידנית בוואשופ. עסקים מתאימים יכולים להצטרף לאינדקס עם פרטי העסק וקישור ישיר לקטלוג או לשיחה.","פרסום והוספת חנות וואטסאפ לוואשופ","580","3385","FAQPage","67","20","1","1","1","true","308:http://washop.co.il/add-store->https://washop.co.il/add-store|200:https://washop.co.il/add-store->","301:https://www.washop.co.il/add-store->https://washop.co.il/add-store|200:https://washop.co.il/add-store->","308:http://localhost:3100/add-store/->/add-store|200:http://localhost:3100/add-store->"
"/about","static","about","200","http://localhost:3100/about","true","true","https://washop.co.il/about","true","index, follow","he","rtl","he","rtl","אודות WaShop – אינדקס חנויות וואטסאפ בישראל","WaShop הוא אינדקס ישראלי לחנויות ולעסקים שפועלים דרך וואטסאפ, עם בדיקה ידנית ופנייה ישירה בין הלקוח למוכר.","וואשופ הוא אינדקס לחנויות וואטסאפ שנבדקות ידנית","233","1397","","66","20","1","1","1","true","308:http://washop.co.il/about->https://washop.co.il/about|200:https://washop.co.il/about->","301:https://www.washop.co.il/about->https://washop.co.il/about|200:https://washop.co.il/about->","308:http://localhost:3100/about/->/about|200:http://localhost:3100/about->"
"/contact","static","contact","200","http://localhost:3100/contact","true","true","https://washop.co.il/contact","true","index, follow","he","rtl","he","rtl","יצירת קשר עם וואשופ","צרו קשר עם צוות וואשופ לגבי האינדקס, חנות קיימת, הצטרפות או תיקון פרטים. וואשופ אינה התמיכה הרשמית של WhatsApp.","אנחנו כאן לשאלות, חנויות והצעות","169","997","","66","21","1","1","1","true","308:http://washop.co.il/contact->https://washop.co.il/contact|200:https://washop.co.il/contact->","301:https://www.washop.co.il/contact->https://washop.co.il/contact|200:https://washop.co.il/contact->","308:http://localhost:3100/contact/->/contact|200:http://localhost:3100/contact->"
"/blog","blog","","200","http://localhost:3100/blog","true","true","https://washop.co.il/blog","true","index, follow","he","rtl","he","rtl","מדריכים לחנויות, עסקים ו-WhatsApp | Washop","מדריכים מעשיים על חנויות וואטסאפ, שירות לקוחות, קטלוגים וקשר ישיר בין עסקים ללקוחות.","המדריכים של Washop","810","4828","","68","34","1","1","1","true","308:http://washop.co.il/blog->https://washop.co.il/blog|200:https://washop.co.il/blog->","301:https://www.washop.co.il/blog->https://washop.co.il/blog|200:https://washop.co.il/blog->","308:http://localhost:3100/blog/->/blog|200:http://localhost:3100/blog->"
"/partners","static","partners","200","http://localhost:3100/partners","true","true","https://washop.co.il/partners","true","index, follow","he","rtl","he","rtl","תוכנית שותפים של וואשופ | washop.co.il","רוצים לעזור לוואשופ לגדול? הצטרפו כשותפים לדרך וסייעו לנו לאתר חנויות וואטסאפ איכותיות בישראל, להכיר בעלי עסקים ולבנות יחד אינדקס אמין ושימושי יותר.","תוכנית שותפים של וואשופ","381","2233","","66","20","1","1","1","true","308:http://washop.co.il/partners->https://washop.co.il/partners|200:https://washop.co.il/partners->","301:https://www.washop.co.il/partners->https://washop.co.il/partners|200:https://washop.co.il/partners->","308:http://localhost:3100/partners/->/partners|200:http://localhost:3100/partners->"
"/privacy","static","privacy","200","http://localhost:3100/privacy","true","true","https://washop.co.il/privacy","true","index, follow","he","rtl","he","rtl","מדיניות פרטיות | washop.co.il","מדיניות הפרטיות של וואשופ.","מדיניות פרטיות","196","1144","","66","20","1","1","1","true","308:http://washop.co.il/privacy->https://washop.co.il/privacy|200:https://washop.co.il/privacy->","301:https://www.washop.co.il/privacy->https://washop.co.il/privacy|200:https://washop.co.il/privacy->","308:http://localhost:3100/privacy/->/privacy|200:http://localhost:3100/privacy->"
"/terms","static","terms","200","http://localhost:3100/terms","true","true","https://washop.co.il/terms","true","index, follow","he","rtl","he","rtl","תנאי שימוש | washop.co.il","תנאי השימוש של וואשופ.","תנאי שימוש","261","1523","","66","20","1","1","1","true","308:http://washop.co.il/terms->https://washop.co.il/terms|200:https://washop.co.il/terms->","301:https://www.washop.co.il/terms->https://washop.co.il/terms|200:https://washop.co.il/terms->","308:http://localhost:3100/terms/->/terms|200:http://localhost:3100/terms->"
