"route","routeType","entity","status","finalUrl","indexable","sitemap","canonical","canonicalMatches","robots","lang","dir","contentLang","contentDir","title","description","h1","wordCount","contentLength","schemaTypes","inlinks","outlinks","crawlDepth","titleDuplicateCount","descriptionDuplicateCount","renderedHtmlAvailable","httpChain","wwwChain","trailingChain"
"/","static","home","200","https://washop.co.il/","true","true","https://washop.co.il/","true","index, follow","he","rtl","he","rtl","Washop – אינדקס חנויות ועסקים בוואטסאפ","גלו חנויות ועסקים בישראל שמציגים מוצרים ושירותים ומאפשרים קשר ישיר בוואטסאפ. חפשו לפי קטגוריה והגיעו לעסק המתאים.","חנויות ועסקים שאפשר למצוא וליצור איתם קשר בוואטסאפ","2048","12420","WebSite|Organization|ItemList|FAQPage","69","51","0","1","1","true","308:http://washop.co.il/->https://washop.co.il/|200:https://washop.co.il/->","301:https://www.washop.co.il/->https://washop.co.il/|200:https://washop.co.il/->",""
"/global","static","global","200","https://washop.co.il/global","true","true","https://washop.co.il/global","true","index, follow","he","rtl","en","ltr","WaShop Global – WhatsApp Store Directory","Explore businesses and stores that connect with customers through WhatsApp. Browse categories and contact the relevant seller directly.","Discover Stores That Sell Through WhatsApp","936","6316","WebPage|ItemList","69","4","1","1","1","true","308:http://washop.co.il/global->https://washop.co.il/global|200:https://washop.co.il/global->","301:https://www.washop.co.il/global->https://washop.co.il/global|200:https://washop.co.il/global->","308:https://washop.co.il/global/->/global|200:https://washop.co.il/global->"
"/shops","static","shops","200","https://washop.co.il/shops","true","true","https://washop.co.il/shops","true","index, follow","he","rtl","he","rtl","חנויות בוואטסאפ לפי קטגוריה | Washop","מצאו חנויות ועסקים שמאפשרים פנייה ישירה דרך וואטסאפ. סננו לפי קטגוריה, עיר או מוצר ועברו לעסק המתאים.","אינדקס חנויות ועסקים בוואטסאפ","896","5049","CollectionPage|ItemList|BreadcrumbList|FAQPage","68","40","1","1","1","true","308:http://washop.co.il/shops->https://washop.co.il/shops|200:https://washop.co.il/shops->","301:https://www.washop.co.il/shops->https://washop.co.il/shops|200:https://washop.co.il/shops->","308:https://washop.co.il/shops/->/shops|200:https://washop.co.il/shops->"
"/add-store","static","add-store","200","https://washop.co.il/add-store","true","true","https://washop.co.il/add-store","true","index, follow","he","rtl","he","rtl","פרסום חנות וואטסאפ – שליחת עסק לבדיקה | WaShop","שלחו את חנות הוואטסאפ שלכם לבדיקה ידנית בוואשופ. עסקים מתאימים יכולים להצטרף לאינדקס עם פרטי העסק וקישור ישיר לקטלוג או לשיחה.","פרסום והוספת חנות וואטסאפ לוואשופ","579","3393","FAQPage","68","20","1","1","1","true","308:http://washop.co.il/add-store->https://washop.co.il/add-store|200:https://washop.co.il/add-store->","301:https://www.washop.co.il/add-store->https://washop.co.il/add-store|200:https://washop.co.il/add-store->","308:https://washop.co.il/add-store/->/add-store|200:https://washop.co.il/add-store->"
"/about","static","about","200","https://washop.co.il/about","true","true","https://washop.co.il/about","true","index, follow","he","rtl","he","rtl","אודות WaShop – אינדקס חנויות וואטסאפ בישראל","WaShop הוא אינדקס ישראלי לחנויות ולעסקים שפועלים דרך וואטסאפ, עם בדיקה ידנית ופנייה ישירה בין הלקוח למוכר.","וואשופ הוא אינדקס לחנויות וואטסאפ שנבדקות ידנית","232","1405","","68","20","1","1","1","true","308:http://washop.co.il/about->https://washop.co.il/about|200:https://washop.co.il/about->","301:https://www.washop.co.il/about->https://washop.co.il/about|200:https://washop.co.il/about->","308:https://washop.co.il/about/->/about|200:https://washop.co.il/about->"
"/contact","static","contact","200","https://washop.co.il/contact","true","true","https://washop.co.il/contact","true","index, follow","he","rtl","he","rtl","צור קשר | washop.co.il","צרו קשר עם וואשופ דרך וואטסאפ או אימייל.","אנחנו כאן לשאלות, חנויות והצעות","168","1005","","68","21","1","1","1","true","308:http://washop.co.il/contact->https://washop.co.il/contact|200:https://washop.co.il/contact->","301:https://www.washop.co.il/contact->https://washop.co.il/contact|200:https://washop.co.il/contact->","308:https://washop.co.il/contact/->/contact|200:https://washop.co.il/contact->"
"/blog","blog","","200","https://washop.co.il/blog","true","true","https://washop.co.il/blog","true","index, follow","he","rtl","he","rtl","מדריכים לחנויות, עסקים ו-WhatsApp | Washop","מדריכים מעשיים על חנויות וואטסאפ, שירות לקוחות, קטלוגים וקשר ישיר בין עסקים ללקוחות.","המדריכים של Washop","809","4836","","68","34","1","1","1","true","308:http://washop.co.il/blog->https://washop.co.il/blog|200:https://washop.co.il/blog->","301:https://www.washop.co.il/blog->https://washop.co.il/blog|200:https://washop.co.il/blog->","308:https://washop.co.il/blog/->/blog|200:https://washop.co.il/blog->"
"/partners","static","partners","200","https://washop.co.il/partners","true","true","https://washop.co.il/partners","true","index, follow","he","rtl","he","rtl","תוכנית שותפים של וואשופ | washop.co.il","רוצים לעזור לוואשופ לגדול? הצטרפו כשותפים לדרך וסייעו לנו לאתר חנויות וואטסאפ איכותיות בישראל, להכיר בעלי עסקים ולבנות יחד אינדקס אמין ושימושי יותר.","תוכנית שותפים של וואשופ","380","2241","","68","20","1","1","1","true","308:http://washop.co.il/partners->https://washop.co.il/partners|200:https://washop.co.il/partners->","301:https://www.washop.co.il/partners->https://washop.co.il/partners|200:https://washop.co.il/partners->","308:https://washop.co.il/partners/->/partners|200:https://washop.co.il/partners->"
"/privacy","static","privacy","200","https://washop.co.il/privacy","true","true","https://washop.co.il/privacy","true","index, follow","he","rtl","he","rtl","מדיניות פרטיות | washop.co.il","מדיניות הפרטיות של וואשופ.","מדיניות פרטיות","195","1152","","68","20","1","1","1","true","308:http://washop.co.il/privacy->https://washop.co.il/privacy|200:https://washop.co.il/privacy->","301:https://www.washop.co.il/privacy->https://washop.co.il/privacy|200:https://washop.co.il/privacy->","308:https://washop.co.il/privacy/->/privacy|200:https://washop.co.il/privacy->"
"/terms","static","terms","200","https://washop.co.il/terms","true","true","https://washop.co.il/terms","true","index, follow","he","rtl","he","rtl","תנאי שימוש | washop.co.il","תנאי השימוש של וואשופ.","תנאי שימוש","260","1531","","68","20","1","1","1","true","308:http://washop.co.il/terms->https://washop.co.il/terms|200:https://washop.co.il/terms->","301:https://www.washop.co.il/terms->https://washop.co.il/terms|200:https://washop.co.il/terms->","308:https://washop.co.il/terms/->/terms|200:https://washop.co.il/terms->"
